Class,Max. Seats,Lecture Type,#Labs,Section number,Seat Split
110,96,F2F,4,"500,501,502,503","24,24,24,24"
110,96,F2F,4,"504,505,506, 507","24,24,24,24"
111,96,F2F,4,"500,501,502,503","24,24,24,24"
111/708 (86/10),96,F2F,5,"504, 505, 506, 507, 708:600","24, 24, 24, 14, 10"
120,96,F2F,4,"500,501,502,503","24,24,24,24"
120,96,F2F,4,"504,505,506,507","24,24,24,24"
120,96,F2F,4,"508,509,510,511","24,24,24,24"
120,96,F2F,4,"512,513,545,515","24,24,24,24"
120,96,F2F,4,"516,517,518,519","24,24,24,24"
120,96,F2F,4,"520,521,522,523","24,24,24,24"
120,96,F2F,4,"524,525,526,527","24,24,24,24"
120,96,F2F,4,"528,529,530,531","24,24,24,24"
120,96,F2F,4,"532,533,534,535","24,24,24,24"
181,450,REMOTE,0,599,450
206,100,F2F,3,"500,501,502","33, 33, 34"
221H,30,F2F,1,200,30
221,100,F2F,3,"500, 501, 502","33, 33, 34"
221,100,F2F,3,"503,504,505","33, 33, 34"
221,96,F2F,4,"506,507,508,509","24, 24, 24, 24"
221,96,F2F,4,"510, 511, 512, 513","24, 24, 24, 24"
221,96,F2F,4,"514, 515, 516, 517","24, 24, 24, 24"
221,96,F2F,4,"518, 519, 520, 521","24, 24, 24, 24"
222D,100,Online,0,599,100
222D,100,Online,0,598,100
222,100,F2F,0,500,100
222,100,F2F,0,501,100
222,100,F2F,0,502,100
310D,100,Online,0,599,100
310,100,F2F,0,500,100
312,96,F2F,4,"500, 501, 502, 503","24, 24, 24, 24"
312,96,F2F,4,"504, 505, 506, 507","24,24,24,24"
312D,100,Online (async) f2flabs,4,"595, 594, 593","33, 33, 34"
312D,96,Online (async) f2flabs,3,"599, 598, 597, 596","24, 24, 24, 24"
313H,30,F2F,1,200,30
313,96,F2F,4,"500,501,502,503","24,24,24,24"
313,96,F2F,4,"504,505,506,507","24,24,24,24"
314D,100,Online,0,599,100
314D,100,Online,0,598,100
314,100,F2F,0,500,100
314,100,F2F,0,501,100
314,60,F2F,0,502,60
320,100,F2F,0,500,100
331,90,F2F,4,"900,901,902,903","22, 22, 23, 23"
331,90,F2F,4,"904, 905, 906, 907","22,22,23,23"
331,90,F2F,4,"908, 909, 910, 911","22, 22, 23, 23"
402/702/CYBR 402/CYBR 602,150,REMOTE,0,"402-599, 702-699","85 , 50"
410,100,F2F,0,500,100
410/611,118,F2F,0,"410-501, 611-600","59, 59"
411,118,F2F,0,500,118
411,118,F2F,0,501,118
411,118,F2F,0,502,118
411/629,110,F2F,0,"411-503, 629-600","55, 55 "
413,60,F2F,0,500,60
420,135,F2F,0,500,135
421,100,F2F,0,500,100
421,135,F2F,0,501,135
430,100,F2F,1,500,100
431,100,F2F,3,"500,501,502","33,33,34"
432/632,100,F2F,0,"432-500, 632-600","80, 20 "
435/735/735D,135,F2F,0,"435-500, 735-600/700","95, 40"
436,100,F2F,0,500,100
438,100,F2F,0,500,100
441/441H,100,F2F,0,"500,200","80,20"
442,60,F2F,0,500,60
445/656,80,F2F,0,"445-500, 656-600","50, 30 "
448/748,100,F2F,0,"448-500, 748-600","50, 50  "
449/749,80,F2F,0,"449-500, 749-600","50, 30 "
450,60,F2F,0,500,60
451/652 ,96,F2F,1,"451-500, 652-600","70, 45 "
462,80,F2F,2,"500,501","40, 40"
463/612,65,F2F,0,"463-500, 612-600","30,35"
465,100,F2F,0,500,100
465D/765D,130,Online,0,"465-599, 765-699","65, 65 "
469,30,F2F,0,500,30
477/703/CYBR603,100,F2F,0,"477-500, 703-600","55, 45"
481,450,Remote,0,599,450
482,36,F2F,1,931,36
482,36,F2F,1,932,36
482,36,F2F,1,933,36
482,36,F2F,1,934,36
482,36,F2F,1,935,36
482,36,F2F,1,936,36
482,36,F2F,1,937,36
482,36,F2F,1,938,36
482,36,F2F,1,939,36
483,36,F2F,1,931,36
483,36,F2F,1,932,36
483,36,F2F,1,933,36
489D,25,Online,0,599,25
489,30,F2F,0,500,30
489,15,F2F,0,501,15
606/606D,100,F2F,0,600,100
608/608D,65,F2F,0,600,65
614,100,F2F,0,600,100
625,60,F2F,0,600,60
625/625D,118,F2F,0,601,118
626,65,F2F,,600,65
629,90,F2F,0,601,90
629,60,F2F,0,602,60
633,60,F2F,0,600,60
633/633D,135,F2F,0,601,135
635/635D,60,F2F,0,600,60
636/636D,135,F2F,0,600,135
638,100,,0,600,100
643,30,F2F,0,600,30
653/653D,60,F2F,0,600,60
655,100,F2F,0,600,100
658,30,F2F,0,601,30
665,60,F2F,0,600,60
670,135,F2F,0,600,135
679,60,F2F,0,600,60
681/681D,135,F2F,0,600,135
713/713D,135,F2F,0,600,135
716/489,30,F2F,0,"716-600, 489-xxx","15, 15"
726,30,F2F,0,600,30
753,60,F2F,0,600,60
689 (AI for 3D),30,F2F,0,600,30
689 (Theory),30,F2F,0,601,30
689 (EmergRobotics),30,F2F,0,602,30
689 (NLP Science),30,F2F,0,603,30
689 (GraphML),30,F2F,0,604,30
689D (for 635D),100,Online,0,700,100
689D (for 653D),100,Online,0,701,100
606D,100,Online,0,700,100
611D,100,Online,0,700,100
614D,100,Online,0,700,100
625D,100,Online,0,700,100
629D,100,Online,0,700,100
633D,100,Online,0,700,100
635D,100,Online,0,700,100
636D,100,Online,0,700,100
653D,100,Online,0,700,100
681D,100,Remote,0,700,100
702D,100,Online,0,700,100
713D,100,Online,0,700,100
714D,60,Online,0,700,60
735D,100,Online,0,700,100
765D,20,Online,0,700,20
